hip,x0,y0,z0,spect
695.0,166.237,6.203,329.379,G3II
696.0,412.666,15.417,-130.824,M0/1 IIICNVP
697.0,73.171,2.744,98.071,F2
698.0,75.885,2.864,-269.05,K3 III
699.0,26.149,0.991,19.453,F 7 V
700.0,182.24,6.936,-7.078,K0 III
701.0,53.422,2.037,189.113,A0
702.0,129.869,4.96,-168.323,F2 III/IV
704.0,215.418,8.242,54.317,K0
706.0,142.095,5.44,-98.81,F3 V
707.0,180.864,6.932,-421.473,K0 III
708.0,119.166,4.568,-89.032,F3 V
709.0,94.152,3.62,-101.255,F5 IV
710.0,90.269,3.473,12.731,F0
711.0,421.19,16.215,-58.466,G8 IV
712.0,153.123,5.903,132.462,G5
713.0,121.563,4.687,-212.975,F5 V
714.0,248.276,9.574,212.164,K5
705.0,3.171,0.122,56.55,G2V
716.0,123.67,4.788,58.934,K0III
717.0,502.1,19.444,6.073,K2/3 III
719.0,477.15,18.504,-344.631,K1 III
720.0,460.368,17.875,-187.822,M2 III
